doc_id,case_id,scenario_id,split,doc_type,file_format,document_path,reference_text_path,quality_profile,style_id,supplier_name,supplier_siret,supplier_vat,customer_name,customer_siret,invoice_number,quote_number,attestation_reference,issue_date,due_date,expiration_date,currency,amount_ht,amount_tva,amount_ttc,iban,bic,is_forged,is_expired,has_cross_doc_inconsistency,notes
train-00023-invoice,train-00023,forged_identifier_scan,train,invoice,png,source_documents/train/train-00023/train-00023-invoice.png,reference_texts/train/train-00023/train-00023-invoice.txt,pixelated_scan,industrial_orange,DOUKA BE KANI KELI,02404912400095,FR45024049124,DEXIS,01675055600041,FAC-202510-0023,,,2025-10-21,2025-11-20,,EUR,4461.74,892.35,5354.09,FR7668647294002989510109159,JUEYXPDQ,True,False,False,Identifiant fournisseur potentiellement falsifie.
train-00024-invoice,train-00024,forged_identifier_scan,train,invoice,png,source_documents/train/train-00024/train-00024-invoice.png,reference_texts/train/train-00024/train-00024-invoice.txt,pixelated_scan,corporate_blue,DOUKA BE POROANI,02404912400384,FR45024049124,JO LE TAXI,02405115300021,FAC-202511-0024,,,2025-11-16,2025-12-16,,EUR,9209.05,1841.81,11050.86,FR7661026614667146248944269,JWUWKYOR,True,False,False,Identifiant fournisseur potentiellement falsifie.
train-00025-invoice,train-00025,invoice_quote_mismatch,train,invoice,pdf,source_documents/train/train-00025/train-00025-invoice.pdf,reference_texts/train/train-00025/train-00025-invoice.txt,clean_pdf,heritage_burgundy,BELAY ARC EN CIEL MAYOTTE EIRL,02404673200020,FR47024046732,LEBTRONIC,02407563200018,FAC-202601-0025,,,2026-01-16,2026-02-15,,EUR,7700.30,1540.06,9240.36,FR7692159561284092158293362,KCQAVCCW,False,False,True,Le devis et la facture n'ont pas le meme montant.
train-00025-quote,train-00025,invoice_quote_mismatch,train,quote,pdf,source_documents/train/train-00025/train-00025-quote.pdf,reference_texts/train/train-00025/train-00025-quote.txt,clean_pdf,heritage_burgundy,BELAY ARC EN CIEL MAYOTTE EIRL,02404673200020,FR47024046732,LEBTRONIC,02407563200018,,DEV-202601-0025,,2026-01-10,2026-02-09,,EUR,7516.97,1503.39,9020.36,,,False,False,True,Devis commercial lie a la facture. | Le devis et la facture n'ont pas le meme montant.
train-00026-invoice,train-00026,invoice_quote_mismatch,train,invoice,pdf,source_documents/train/train-00026/train-00026-invoice.pdf,reference_texts/train/train-00026/train-00026-invoice.txt,clean_pdf,ocean_teal,GAZONS MAYOTTE SERVICES VERTS,02403807700020,FR78024038077,CARONI TRANSPORT,02405894300036,FAC-202512-0026,,,2025-12-23,2026-01-22,,EUR,6902.93,1380.59,8283.52,FR7666679165088617703810960,SKQYSVTX,False,False,True,Le devis et la facture n'ont pas le meme montant.
train-00026-quote,train-00026,invoice_quote_mismatch,train,quote,pdf,source_documents/train/train-00026/train-00026-quote.pdf,reference_texts/train/train-00026/train-00026-quote.txt,clean_pdf,ocean_teal,GAZONS MAYOTTE SERVICES VERTS,02403807700020,FR78024038077,CARONI TRANSPORT,02405894300036,,DEV-202512-0026,,2025-12-17,2026-01-16,,EUR,6719.60,1343.92,8063.52,,,False,False,True,Devis commercial lie a la facture. | Le devis et la facture n'ont pas le meme montant.
train-00027-invoice,train-00027,invoice_quote_mismatch,train,invoice,pdf,source_documents/train/train-00027/train-00027-invoice.pdf,reference_texts/train/train-00027/train-00027-invoice.txt,clean_pdf,industrial_orange,ENTREPRISE GENERALE,02405048600018,FR57024050486,LA TOUR D'AUXOIS,01605002300049,FAC-202511-0027,,,2025-11-01,2025-12-01,,EUR,4998.50,999.70,5998.20,FR7675951730900818936329947,ZWPFGFMR,False,False,True,Le devis et la facture n'ont pas le meme montant.
train-00027-quote,train-00027,invoice_quote_mismatch,train,quote,pdf,source_documents/train/train-00027/train-00027-quote.pdf,reference_texts/train/train-00027/train-00027-quote.txt,clean_pdf,industrial_orange,ENTREPRISE GENERALE,02405048600018,FR57024050486,LA TOUR D'AUXOIS,01605002300049,,DEV-202511-0027,,2025-10-26,2025-11-25,,EUR,4815.17,963.03,5778.20,,,False,False,True,Devis commercial lie a la facture. | Le devis et la facture n'ont pas le meme montant.
train-00028-invoice,train-00028,invoice_quote_mismatch,train,invoice,pdf,source_documents/train/train-00028/train-00028-invoice.pdf,reference_texts/train/train-00028/train-00028-invoice.txt,clean_pdf,compliance_green,OUZOURI ET LOCATION,02406628400019,FR18024066284,DORAS,01585179301030,FAC-202510-0028,,,2025-10-01,2025-10-31,,EUR,12870.78,2574.16,15444.94,FR7661572507397820759996712,ZIZCZNGH,False,False,True,Le devis et la facture n'ont pas le meme montant.
train-00028-quote,train-00028,invoice_quote_mismatch,train,quote,pdf,source_documents/train/train-00028/train-00028-quote.pdf,reference_texts/train/train-00028/train-00028-quote.txt,clean_pdf,compliance_green,OUZOURI ET LOCATION,02406628400019,FR18024066284,DORAS,01585179301030,,DEV-202510-0028,,2025-09-25,2025-10-25,,EUR,12687.45,2537.49,15224.94,,,False,False,True,Devis commercial lie a la facture. | Le devis et la facture n'ont pas le meme montant.
train-00029-invoice,train-00029,expired_attestation,train,invoice,pdf,source_documents/train/train-00029/train-00029-invoice.pdf,reference_texts/train/train-00029/train-00029-invoice.txt,clean_pdf,heritage_burgundy,ENTREPRISE MICHEL AHMED,02408232300015,FR23024082323,SOPREMA,02405111200019,FAC-202511-0029,,,2025-11-10,2025-12-10,,EUR,6593.70,1318.74,7912.44,FR7638311957643051427818209,BSUKXOAP,False,True,True,Attestation hors validite.
train-00029-attestation,train-00029,expired_attestation,train,attestation,pdf,source_documents/train/train-00029/train-00029-attestation.pdf,reference_texts/train/train-00029/train-00029-attestation.txt,clean_pdf,heritage_burgundy,ENTREPRISE MICHEL AHMED,02408232300015,FR23024082323,SOPREMA,02405111200019,,,ATTEST-202511-0029,2025-11-10,,2025-11-02,EUR,0.00,0.00,0.00,,,False,True,True,Document de conformite pour verification fournisseur. | Attestation hors validite.
train-00030-invoice,train-00030,expired_attestation,train,invoice,pdf,source_documents/train/train-00030/train-00030-invoice.pdf,reference_texts/train/train-00030/train-00030-invoice.txt,clean_pdf,minimal_gray,SFR,02407217500029,FR37024072175,COOL VOYAGES,02406785200012,FAC-202511-0030,,,2025-11-10,2025-12-10,,EUR,7329.02,1465.80,8794.82,FR7636208183950488803782517,NKKOHGPT,False,True,True,Attestation hors validite.
train-00030-attestation,train-00030,expired_attestation,train,attestation,pdf,source_documents/train/train-00030/train-00030-attestation.pdf,reference_texts/train/train-00030/train-00030-attestation.txt,clean_pdf,minimal_gray,SFR,02407217500029,FR37024072175,COOL VOYAGES,02406785200012,,,ATTEST-202511-0030,2025-11-10,,2025-11-02,EUR,0.00,0.00,0.00,,,False,True,True,Document de conformite pour verification fournisseur. | Attestation hors validite.
train-00031-invoice,train-00031,expired_attestation,train,invoice,pdf,source_documents/train/train-00031/train-00031-invoice.pdf,reference_texts/train/train-00031/train-00031-invoice.txt,clean_pdf,compliance_green,MENUISERIE MZE FILS,02405867900010,FR95024058679,ACM,01675055600140,FAC-202509-0031,,,2025-09-28,2025-10-28,,EUR,8325.52,1665.10,9990.62,FR7696355203591007655510739,OZQMPOLE,False,True,True,Attestation hors validite.
train-00031-attestation,train-00031,expired_attestation,train,attestation,pdf,source_documents/train/train-00031/train-00031-attestation.pdf,reference_texts/train/train-00031/train-00031-attestation.txt,clean_pdf,compliance_green,MENUISERIE MZE FILS,02405867900010,FR95024058679,ACM,01675055600140,,,ATTEST-202509-0031,2025-09-28,,2025-09-20,EUR,0.00,0.00,0.00,,,False,True,True,Document de conformite pour verification fournisseur. | Attestation hors validite.
train-00032-invoice,train-00032,expired_attestation,train,invoice,pdf,source_documents/train/train-00032/train-00032-invoice.pdf,reference_texts/train/train-00032/train-00032-invoice.txt,clean_pdf,minimal_gray,L.E.C LAGON ETANCHEITE COUVERTURE,02405466000022,FR66024054660,BET I.A.C.,02405783800021,FAC-202508-0032,,,2025-08-11,2025-09-10,,EUR,1972.84,394.57,2367.41,FR7677177236753210115114065,JFYTJYLH,False,True,True,Attestation hors validite.
train-00032-attestation,train-00032,expired_attestation,train,attestation,pdf,source_documents/train/train-00032/train-00032-attestation.pdf,reference_texts/train/train-00032/train-00032-attestation.txt,clean_pdf,minimal_gray,L.E.C LAGON ETANCHEITE COUVERTURE,02405466000022,FR66024054660,BET I.A.C.,02405783800021,,,ATTEST-202508-0032,2025-08-11,,2025-08-03,EUR,0.00,0.00,0.00,,,False,True,True,Document de conformite pour verification fournisseur. | Attestation hors validite.
train-00033-invoice,train-00033,attestation_siret_mismatch,train,invoice,png,source_documents/train/train-00033/train-00033-invoice.png,reference_texts/train/train-00033/train-00033-invoice.txt,scan_blur_rotation,ocean_teal,TRANSPORTS MORAND,00648006500025,FR49006480065,MAYOTTE PIECES AUTO,02406911400023,FAC-202601-0033,,,2026-01-29,2026-02-28,,EUR,7407.40,1481.48,8888.88,FR7611718358351066529636250,ZFFIJUPE,False,False,True,
train-00033-attestation,train-00033,attestation_siret_mismatch,train,attestation,png,source_documents/train/train-00033/train-00033-attestation.png,reference_texts/train/train-00033/train-00033-attestation.txt,scan_blur_rotation,ocean_teal,TRANSPORTS MORAND,02404345700027,FR19024043457,MAYOTTE PIECES AUTO,02406911400023,,,ATTEST-202601-0033,2026-01-29,,2026-05-29,EUR,0.00,0.00,0.00,,,False,False,True,Document de conformite pour verification fournisseur.
train-00034-invoice,train-00034,attestation_siret_mismatch,train,invoice,png,source_documents/train/train-00034/train-00034-invoice.png,reference_texts/train/train-00034/train-00034-invoice.txt,scan_blur_rotation,tech_slate,MCTP LA MAHORAISE DE TRAVAUX PUBLICS ASSAINISSEMENT & EAU POTABLE,02407860200026,FR15024078602,DOUKA BE KANI KELI,02404912400092,FAC-202510-0034,,,2025-10-03,2025-11-02,,EUR,10508.02,2101.60,12609.62,FR7639903654137231195911121,JTLERVQQ,False,False,True,
train-00034-attestation,train-00034,attestation_siret_mismatch,train,attestation,png,source_documents/train/train-00034/train-00034-attestation.png,reference_texts/train/train-00034/train-00034-attestation.txt,scan_blur_rotation,tech_slate,MCTP LA MAHORAISE DE TRAVAUX PUBLICS ASSAINISSEMENT & EAU POTABLE,02406747200019,FR90024067472,DOUKA BE KANI KELI,02404912400092,,,ATTEST-202510-0034,2025-10-03,,2026-01-31,EUR,0.00,0.00,0.00,,,False,False,True,Document de conformite pour verification fournisseur.
train-00035-invoice,train-00035,attestation_siret_mismatch,train,invoice,png,source_documents/train/train-00035/train-00035-invoice.png,reference_texts/train/train-00035/train-00035-invoice.txt,scan_blur_rotation,corporate_blue,BOULANGERIE BARAKA M'FILAOUNI,02404494300025,FR15024044943,MPPI,01585179301105,FAC-202601-0035,,,2026-01-13,2026-02-12,,EUR,5277.70,1055.54,6333.24,FR7666132870081783757374104,DQKVLAFL,False,False,True,
train-00035-attestation,train-00035,attestation_siret_mismatch,train,attestation,png,source_documents/train/train-00035/train-00035-attestation.png,reference_texts/train/train-00035/train-00035-attestation.txt,scan_blur_rotation,corporate_blue,BOULANGERIE BARAKA M'FILAOUNI,01555140100035,FR28015551401,MPPI,01585179301105,,,ATTEST-202601-0035,2026-01-13,,2026-05-13,EUR,0.00,0.00,0.00,,,False,False,True,Document de conformite pour verification fournisseur.
train-00036-invoice,train-00036,attestation_siret_mismatch,train,invoice,png,source_documents/train/train-00036/train-00036-invoice.png,reference_texts/train/train-00036/train-00036-invoice.txt,scan_blur_rotation,heritage_burgundy,SAF COIFFURE,02407648100019,FR54024076481,TRANSIT DES ILES,02404461200026,FAC-202511-0036,,,2025-11-06,2025-12-06,,EUR,2984.31,596.86,3581.17,FR7649900036322113475791517,ZTOVKJYS,False,False,True,
train-00036-attestation,train-00036,attestation_siret_mismatch,train,attestation,png,source_documents/train/train-00036/train-00036-attestation.png,reference_texts/train/train-00036/train-00036-attestation.txt,scan_blur_rotation,heritage_burgundy,SAF COIFFURE,02408254700027,FR16024082547,TRANSIT DES ILES,02404461200026,,,ATTEST-202511-0036,2025-11-06,,2026-03-06,EUR,0.00,0.00,0.00,,,False,False,True,Document de conformite pour verification fournisseur.
train-00037-invoice,train-00037,rib_mismatch,train,invoice,pdf,source_documents/train/train-00037/train-00037-invoice.pdf,reference_texts/train/train-00037/train-00037-invoice.txt,clean_pdf,compliance_green,DORAS,01585179300347,FR74015851793,JADESSIANE,02405385200026,FAC-202601-0037,,,2026-01-12,2026-02-11,,EUR,7823.38,1564.68,9388.06,FR7654851919825323282153789,TDINOSJI,False,False,True,
train-00037-rib,train-00037,rib_mismatch,train,rib,pdf,source_documents/train/train-00037/train-00037-rib.pdf,reference_texts/train/train-00037/train-00037-rib.txt,clean_pdf,compliance_green,DOUKA BE TSOUNDZOU 2,01585179300347,FR74015851793,JADESSIANE,02405385200026,,,,2026-01-12,,,EUR,0.00,0.00,0.00,FR7654851919825323282153789,TDINOSJI,False,False,True,Coordonnees bancaires fournisseur.
train-00038-invoice,train-00038,rib_mismatch,train,invoice,pdf,source_documents/train/train-00038/train-00038-invoice.pdf,reference_texts/train/train-00038/train-00038-invoice.txt,clean_pdf,sand_gold,MPPI,01585179301113,FR74015851793,VRD SOULAIMANA FILS,02405890100026,FAC-202601-0038,,,2026-01-26,2026-02-25,,EUR,12794.99,2559.00,15353.99,FR7658917995647275541290366,HBEDURZS,False,False,True,
train-00038-rib,train-00038,rib_mismatch,train,rib,pdf,source_documents/train/train-00038/train-00038-rib.pdf,reference_texts/train/train-00038/train-00038-rib.txt,clean_pdf,sand_gold,SOPREMA,01585179301113,FR74015851793,VRD SOULAIMANA FILS,02405890100026,,,,2026-01-26,,,EUR,0.00,0.00,0.00,FR7658917995647275541290366,HBEDURZS,False,False,True,Coordonnees bancaires fournisseur.
train-00039-invoice,train-00039,rib_mismatch,train,invoice,pdf,source_documents/train/train-00039/train-00039-invoice.pdf,reference_texts/train/train-00039/train-00039-invoice.txt,clean_pdf,minimal_gray,MAYOTTE HYGIENE EXPRESS,02405355500041,FR49024053555,FABRICE GILLOTTE,01575114200033,FAC-202509-0039,,,2025-09-15,2025-10-15,,EUR,11963.27,2392.65,14355.92,FR7602534410261641357075811,VPBSGZWT,False,False,True,
train-00039-rib,train-00039,rib_mismatch,train,rib,pdf,source_documents/train/train-00039/train-00039-rib.pdf,reference_texts/train/train-00039/train-00039-rib.txt,clean_pdf,minimal_gray,LE CARONI SERVICE TAXI,02405355500041,FR49024053555,FABRICE GILLOTTE,01575114200033,,,,2025-09-15,,,EUR,0.00,0.00,0.00,FR7602534410261641357075811,VPBSGZWT,False,False,True,Coordonnees bancaires fournisseur.
train-00040-invoice,train-00040,missing_field_scan,train,invoice,png,source_documents/train/train-00040/train-00040-invoice.png,reference_texts/train/train-00040/train-00040-invoice.txt,low_contrast_scan,corporate_blue,EIFFAGE CONSTRUCTION BOURGOGNE FRANCHE COMTE AMEL,01545141200090,FR82015451412,PACOTTE ET MIGNOTTE,01665011100103,FAC-202510-0040,,,2025-10-04,,,EUR,6902.75,1380.55,8283.30,FR7637484833297869719804828,UXRGFCJE,False,False,False,La date d'echeance est absente du document.
train-00041-invoice,train-00041,missing_field_scan,train,invoice,png,source_documents/train/train-00041/train-00041-invoice.png,reference_texts/train/train-00041/train-00041-invoice.txt,low_contrast_scan,sand_gold,DOUKA BE,02404912400290,FR45024049124,JUSTE A COTE,02405478500027,FAC-202602-0041,,,2026-02-16,,,EUR,11509.99,2302.00,13811.99,FR7601736450247961376335028,DNZJFHOK,False,False,False,La date d'echeance est absente du document.
train-00042-invoice,train-00042,missing_field_scan,train,invoice,png,source_documents/train/train-00042/train-00042-invoice.png,reference_texts/train/train-00042/train-00042-invoice.txt,low_contrast_scan,tech_slate,COOPERATIVE MARITIME,00708001300027,FR58007080013,MULTIGRAPHIC,00678051400094,FAC-202510-0042,,,2025-10-04,,,EUR,14253.03,2850.61,17103.64,FR7634154798053598078633405,OAWYXKKJ,False,False,False,La date d'echeance est absente du document.
validation-00043-invoice,validation-00043,legitimate_pdf,validation,invoice,pdf,source_documents/validation/validation-00043/validation-00043-invoice.pdf,reference_texts/validation/validation-00043/validation-00043-invoice.txt,clean_pdf,sand_gold,EQUANS,02407610100047,FR78024076101,DOUKA BE MTSAPERE,02404912400183,FAC-202509-0043,,,2025-09-16,2025-10-16,,EUR,3484.46,696.89,4181.35,FR7668324451320353416228200,WFPBQVZW,False,False,False,
validation-00044-invoice,validation-00044,legitimate_pdf,validation,invoice,pdf,source_documents/validation/validation-00044/validation-00044-invoice.pdf,reference_texts/validation/validation-00044/validation-00044-invoice.txt,clean_pdf,midnight_navy,ESPACE MEUBLE,02407016100021,FR09024070161,C.E.M,02404098200027,FAC-202509-0044,,,2025-09-12,2025-10-12,,EUR,5197.01,1039.40,6236.41,FR7641355021936060967655088,JVTVQQJT,False,False,False,
validation-00045-invoice,validation-00045,legitimate_scan,validation,invoice,png,source_documents/validation/validation-00045/validation-00045-invoice.png,reference_texts/validation/validation-00045/validation-00045-invoice.txt,scan_blur_rotation,corporate_blue,AMENAGEMENTS SUPPER LUX (A.S.L),02408267900010,FR24024082679,DAILAMI ET FILS,02405358900016,FAC-202511-0045,,,2025-11-17,2025-12-17,,EUR,15718.36,3143.67,18862.03,FR7608560684756610142880845,MDYHPTOJ,False,False,False,
validation-00046-invoice,validation-00046,legitimate_scan,validation,invoice,png,source_documents/validation/validation-00046/validation-00046-invoice.png,reference_texts/validation/validation-00046/validation-00046-invoice.txt,scan_blur_rotation,civic_red,DORAS,01585179300081,FR74015851793,DOUKA BE MANGROVE KAWENI,02404912400035,FAC-202511-0046,,,2025-11-15,2025-12-15,,EUR,8562.40,1712.48,10274.88,FR7689047088719331938420594,YFAHIQOI,False,False,False,
